#please send additions to malwaredomains1@gmail.com1 (remove numbers in email address)
#this is a list of url shorteners  - for informational purposes only, not meant to be used as a blocklist
#xil.in	##unverified
#xn6.net	##unverified
#xurl.ch	##unverified
#zip.li	##unverified
#zly.me	##unverified
#zootit.com	##unverified
jesais.fr	#http://www.jelev.eu/accueil.php
aelita.fr	#http://www.jelev.eu/accueil.php
jelev.eu	#http://www.jelev.eu/accueil.php
jesais.fr	#http://www.jelev.eu/accueil.php
jtefaisla.biz	#http://www.jelev.eu/accueil.php
lacheun.com	#http://www.jelev.eu/accueil.php
lyoko.eu	#http://www.jelev.eu/accueil.php
mattemon.info	#http://www.jelev.eu/accueil.php
monbe.be	#http://www.jelev.eu/accueil.php
oueb.eu	#http://www.jelev.eu/accueil.php
pourle.net	#http://www.jelev.eu/accueil.php
* xana.fr	#http://www.jelev.eu/accueil.php
smll.me	#http://smll.me
06.hk	#http://urlshortener.org
kwik.to	#http://sitelutions.com
0rz.tw	#http://0rz.tw
10.rs	#http://urlshortener.org
1iny.com	#from http://urlshortener.org
1kh.de	#http://urlshortener.org
1link.in	#from http://longurl.org/services
1tja.com
1url.com	#http://www.mrbup.com
2.gp	#from http://longurl.org/services
2big.at	#from http://urlshortener.org
2tr.net	#http://urlshortener.org
2tu.us	#http://urlshortener.org
3.ly	#http://urlshortener.org/one_character_url_shorteners/
307.to	#from http://longurl.org/services
#4h.biz
4ms.me	#from http://longurl.org/services
4nu.net
4sq.com	#from http://longurl.org/services
4url.cc	#from http://longurl.org/services
55c.cc	#http://urlshortener.org
6t4.us	#http://urlshortener.org
6url.com	#from http://longurl.org/services
7.ly	#from http://longurl.org/services
7les.com	#from http://urlshortener.org
98.to	#http://98.to/tc/home.asp
a.gg	#from http://longurl.org/services
a.nf	#from http://longurl.org/services
a.nf	#http://urlshortener.org/one_character_url_shorteners/
aa.cx	#from http://longurl.org/services
abcurl.net	#from http://longurl.org/services
abe5.com/#from http://urlshortener.org
ad.vu	#from http://longurl.org/services
adf.ly	#from http://longurl.org/services
adjix.com	#from http://longurl.org/services
afx.cc	#from http://longurl.org/services
all.fuseurl.com	#from http://longurl.org/services
alturl.com	#from http://longurl.org/services
amzn.to	#from http://longurl.org/services
ao.co.za	#from http://urlshortener.org
apu.sh	#http://urlshortener.org
ar.gy	#from http://longurl.org/services
arm.in	#http://urlshortener.org
arst.ch	#from http://longurl.org/services
atu.ca	#from http://longurl.org/services
ax.ag	#http://urlshortener.org
azc.cc	#from http://longurl.org/services
b00b.tk	#from http://urlshortener.org
b23.ru	#from http://longurl.org/services
b2l.me	#http://urlshortener.org
bacn.me	#from http://longurl.org/services
bcool.bz	#from http://longurl.org/services
biglnk.com	#from http://urlshortener.org
binged.it	#from http://longurl.org/services
bit.ly	#from http://longurl.org/services
bizj.us	#from http://longurl.org/services
bizy.be	#from http://urlshortener.org
bizz.cc	#from http://urlshortener.org
bloat.me	#from http://longurl.org/services
bpt.st	#http://urlshortener.org
br.st	#http://urlshortener.org
bravo.ly	#from http://longurl.org/services
bsa.ly	#from http://longurl.org/services
budurl.com	#from http://longurl.org/services
canurl.com	#from http://urlshortener.org
cd4.me	#http://urlshortener.org
checkthislink.com	#from http://urlshortener.org
chilp.it	#from http://longurl.org/services
chrst.ph	#from http://urlshortener.org
chs.mx	#http://urlshortener.org
chzb.gr	#from http://longurl.org/services
cl.lk	#from http://longurl.org/services
clck.ru	#from http://urlshortener.org
cli.gs	#http://urlshortener.org
cliccami.info	#from http://longurl.org/services
clickthru.ca	#from http://longurl.org/services
clockurl.com	#from http://urlshortener.org
clop.in	#from http://urlshortener.org
coge.la
conta.cc	#from http://longurl.org/services
cort.as	#from http://urlshortener.org
cot.ag	#from http://longurl.org/services
cr.am	#http://urlshortener.org
crks.me	#from http://longurl.org/services
cru.ms	#http://urlshortener.org
ctvr.us	#from http://longurl.org/services
cut.by	#http://urlshortener.org
cutt.us	#from http://longurl.org/services
d3c.co
dai.ly	#from http://longurl.org/services
decenturl.com	#from http://longurl.org/services
delivr.com	#from http://urlshortener.org
devnull.at	#from http://urlshortener.org
df9.net	#http://urlshortener.org
dfl8.me	#from http://urlshortener.org
dickensurl.com	#from http://urlshortener.org
digbig.com	#from http://longurl.org/services
